AMST225L,AMST225
ANTH413,ANTH413L
ANTH413L,ANTH413
ANTH414L,ANTH414
ANTH415L,ANTH415
ANTH417L,ANTH417
APPL420,CHEM262
APPL420,262H
APPL420,262L
APPL470,PHYS441
APPL520L,CHEM420
APPL520L,CHEM421
APPL520L,CHEM425
ASTR100L,ASTR100
ASTR100L,ASTR101
ASTR100L,ASTR102
ASTR100L,ASTR103
ASTR110,ASTR119
ASTR202,PHYS119
ASTR301,ASTR102
ASTR301,ASTR119
ASTR504,PHYS421
ASTR511,PHYS412
ASTR519,PHYS331
BIOL101L,BIOL101
BIOL102L,BIOL101
BIOL221,BIOL221L
BIOL221L,BIOL221
BIOL252,BIOL252L
BIOL252L,BIOL252
BIOL253L,BIOL253
BIOL253,BIOL253L
BIOL255L,BIOL255
BIOL271,BIOL271L
BIOL271L,BIOL271
BIOL274,BIOL274L
BIOL274L,BIOL274
BIOL277L,BIOL277
BIOL278L,BIOL278
BIOL421L,BIOL422
BIOL422L,BIOL422
BIOL423,BIOL423L
BIOL423L,BIOL423
BIOL441L,BIOL441
BIOL451L,BIOL451
BIOL473L,BIOL473
BIOL473,BIOL473L
BIOL474L,BIOL474
BIOL476,BIOL476L
BIOL476L,BIOL476
BMME209,119
BMME355,BMME365
BMME365,MATH383
BMME375,BMME385
BMME420,BMME325
BMME420,CHEM430
BMME420,BMME335
BIOS500H,BIOS511
BIOS662,BIOS511
BIOS662,BIOS650
BIOS672,BIOS660
BUSI412,BUSI411
BUSI514,BUSI554
BUSI554,BUSI408
BUSI582,BUSI408
BUSI597,BUSI580
BUSI603,BUSI585
BUSI605,BUSI408
BUSI605,BUSI585
CHEM101L,CHEM101
CHEM102L,CHEM102
CHEM102L,102H
CHEM241L,CHEM241
CHEM241L,241H
CHEM245L,CHEM241H
CHEM262L,CHEM262
CHEM262L,262H
CHEM397H,CHEM395H
CHEM420,CHEM262
CHEM420,262H
CHEM420,262L
CHEM441L,CHEM441
CHEM470,PHYS441
CHEM481,MATH383
CHEM481,PHYS119
CHEM481L,CHEM482
CHEM520L,CHEM420
CHEM520L,CHEM421
CHEM520L,CHEM425
CHEM541L,CHEM441
CLSC775,CLSC770
CLSC775,CLSC772
CLSC780,CLSC730
CLSC780,CLSC750
CLSC780,CLSC770
CLSC780,CLSC772
COMP227,COMP210
COMP227,COMP401
EMES101L,EMES101
EMES101L,EMES200
EMES101L,EMES201
EMES103L,EMES103
EMES301,CHEM101
EMES305,CHEM101
EMES415,PHYS115
EMES415,PHYS118
EMES415,COMP116
ECON493,ECON525
ECON525,ECON493
ECON565,ECON470
ECON710,ECON410
ECON710,ECON700
EDUC568,EDUC593
ENGL610,ENGL268
ENEC415,PHYS115
ENEC415,PHYS118
ENEC415,COMP116
ENVR753,ENVR755
EPID625,EPID600
EPID710,BIOS600
EPID710,SPHG711
EPID712,EPID710
EPID826,EPID600
EPID827,EPID715
EPID827,EPID716
DPET854,DPET853
DPET858,DPET857
FREN305,FREN300
FREN310,FREN300
FREN315,FREN300
FREN320,FREN300
FREN356,FREN300
GERM303,GERM301
GERM303,GERM302
GLBL394,GLBL381
HBEH625,EPID600
HBEH787,HBEH785
HBEH787,ENVR795
INLS382,INLS161
INLS889,INLS888
IDST111,IDST111L
IDST111L,IDST111
IDST112,IDST112L
IDST112L,IDST112
IDST113,IDST113L
IDST113L,IDST113
IDST114,IDST114L
IDST114L,IDST114
IDST115,IDST115L
IDST115L,IDST115
IDST116,IDST116L
IDST116L,IDST116
IDST117,IDST117L
IDST117L,IDST117
IDST118,IDST118L
IDST118L,IDST118
IDST119,IDST119L
IDST119L,IDST119
IDST120,IDST120L
IDST120L,IDST120
IDST121,IDST121L
IDST121L,IDST121
IDST122,IDST122L
IDST122L,IDST122
IDST123,IDST123L
IDST123L,IDST123
IDST124,IDST124L
IDST124L,IDST124
IDST125,IDST125L
IDST125L,IDST125
IDST126,IDST126L
IDST126L,IDST126
IDST127,IDST127L
IDST127L,IDST127
IDST128,IDST128L
IDST128L,IDST128
IDST129,IDST129L
IDST129L,IDST129
IDST130,IDST130L
IDST130L,IDST130
IDST132,IDST132L
IDST132L,IDST132
IDST133,IDST133L
IDST133L,IDST133
IDST190,IDST190L
IDST190L,IDST116
IDST190L,IDST118
IDST190L,IDST119
IDST190L,IDST190
MHCH625,EPID600
MHCH713L,MHCH713
MATH110L,MATH110
MATH231L,MATH231
MATH383L,MATH383
MATH528L,MATH528
MATH529L,MATH529
MUSC123,MUSC202
MUSC130,MUSC131
MUSC131,MUSC130
NAVS202,NAVS202L
NAVS202L,NAVS202
NURS310,NURS330
NURS310,NURS351
NURS311,NURS352
NURS321,NURS320
NURS330,NURS310
NURS330,NURS351
NURS351,NURS330
NURS410,NURS484
NURS411,NURS697
NURS481,NURS311
NURS481,NURS352
NURS482,NURS311
NURS482,NURS352
NURS483,NURS430
NURS484,NURS410
NURS512,NURS352
NURS514,NURS483
NURS609,NURS320
NURS616,NURS430
NURS697,NURS402
NURS697,NURS411
NURS715,NURS750
NURS715,NURS752
NURS723,NURS860
