department,course_id,course_name,credit_hours,course_description
AEROSPACE STUDIES (AERO),AERO101,Heritage and Values of the United States Air Force,1,"Part one of a two-part course that examines the opportunities of an Air Force officer, as well as the structure and function of the Air Force."
AEROSPACE STUDIES (AERO),AERO102,Heritage and Values of the United States Air Force,1,"Part two of a two-part course that examines the opportunities of an Air Force officer, as well as the structure and function of the Air Force."
AEROSPACE STUDIES (AERO),AERO190,Seminar,1,Seminar in topics related to the United States Air Force.
AEROSPACE STUDIES (AERO),AERO196,Independent Study,1,Readings and research of topics regarding the United States Air Force.
AEROSPACE STUDIES (AERO),AERO201,Team and Air Force Leadership Fundamentals,1,This course lays the foundation for leading effective teams and developing leadership skills.
AEROSPACE STUDIES (AERO),AERO202,Team and Air Force Leadership Fundamentals II,1,This course continues to lay the foundation for leading effective teams and developing leadership skills.
AEROSPACE STUDIES (AERO),AERO213,Air Power and Modern Warfare,3,Examines air power theory and practice from 1914 to the present. Focuses on the application of air power as an instrument of war and the effectiveness of that application.
AEROSPACE STUDIES (AERO),AERO301,Leading People and Effective Communication I,3,Part one of a two-part course concerning contemporary leadership and management of the Air Force Officer.
AEROSPACE STUDIES (AERO),AERO302,Leading People and Effective Communication II,3,Part two of a two-part course concerning contemporary leadership and management of the Air Force Officer.
AEROSPACE STUDIES (AERO),AERO393,Air and Space Expeditionary Training,1,"Provides leadership training in a military environment. Professional development is achieved through academics, physical fitness, marksmanship, and leadership exercises. Course reviews leadership lessons in a simulated expeditionary deployment to a combat zone. Restricted to ROTC cadets from all services."
AEROSPACE STUDIES (AERO),AERO401,National Security Affairs and Preparation for Active Duty,3,Part one of a two-part class that examines the basic elements of national security policy and process issues relevant to new Air Force officers.
AEROSPACE STUDIES (AERO),AERO402,National Security Affairs and Preparation for Active Duty,3,Part two of a two-part class that examines the basic elements of national security policy and process issues relevant to new Air Force officers.
AEROSPACE STUDIES (AERO),AERO500,Leadership Laboratory,0,"Required for all AFROTC cadets. The purpose of the LLAB program is to augment  the AFROTC academic curriculum by providing prospective Air Force officers the opportunities and feedback needed to develop the leadership, managerial, and supervisory skills required of successful Air Force officers. The laboratory also offers insight into career opportunities in the USAF, life, and work of the USAF junior officer, and military ceremonies."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD50,First-Year Seminar: Defining Blackness,3,"Blackness and whiteness as racial categories have existed in the United States from the earliest colonial times, but their meanings have shifted and continue to shift. Over the semester we will attempt to define and redefine blackness in the United States."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD51,First-Year Seminar: Masquerades of Blackness,3,This course is designed to investigate how race has been represented in cinema historically with a emphasis on representations of race when blackness is masqueraded.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD53,First-Year Seminar: Experimentalism in Global Black Music and Performance Arts,3,"This seminar focuses on artists from around the world who have taken an experimental approach to music-making and performance, inspired by black politics, culture, and history. Considers the special challenges blacks have faced in the field of ""modernism."" Students may opt to do creative artistic projects in lieu of a final research paper."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD54,"First-Year Seminar: African Migrations, Boundaries, Displacements, and Belonging",3,This discussion-oriented seminar will use the works of African authors and filmmakers to explore how this dimension of the African experience has in part shaped the everyday lives of the peoples of the African continent.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD55,"First-Year Seminar: Youth Activism, Citizenship, and Social Change in Africa",3,"This seminar explores the role of youth in processes of social change on the African continent historically and in the contemporary era. It begins with an exploration of youth's experiences and involvement in liberation struggles against colonial rule. With a focus on the post-1980s period, it examines youth mobilization for democratization, human rights, and horizontal accountability by state actors, and the role of African Union in promoting youth citizenship."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD58,First-Year Seminar: Health Inequality in Africa and the African Diaspora,3,"This first-year seminar examines the ways that healthcare access and health itself are shaped by social, racial, and economic inequalities in our society and others. The geographic focus of this course is Africa and the United States. Drawing on research in medical anthropology, sociology, public health, and history we will gain an understanding of the political, economic, and social factors that create health inequalities."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD89,First Year Seminar:  Special Topics,3,Special Topics Course: content will vary each semester.
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD101,Introduction to Africa,3,"Introduction to the study of the African continent, its peoples, history, and contemporary problems of development in a globalized world, including a survey of the African past, society and culture, and contemporary political, economic, and social issues."
"AFRICAN, AFRICAN-AMERICAN, DIASPORA STUDIES (AAAD)",AAAD102,Introduction to Media in Africa,3,"This course explores the precolonial, colonial, and the contemporary media in Africa. It focuses on the different types of media, its impact on socioeconomic and political development, and the growth and development of internet in the region. It introduces students to the inventors, copyright regulations, African governments' media regulation statutes, and careers in the media industry in the continent."
