h2,h3,p,program,department
Honors in Art History,,"The honors program is open to students with a 3.3 grade point average who have demonstrated overall excellence in the discipline. Honors are generally pursued in the senior year. Students enroll in the honors courses (ARTH691H in the fall; ARTH692H in the spring) through the student services assistant in the Department of Artand Art Historyoffice. This should be done after consultation with the faculty honors advisor and department honors advisor. For more information, see the honors program description elsewhere in this catalog and the departmental honors announcement. Honors work will allow a student to graduate with honors or with highest honors.","Art History Major, B.A.",Art and Art History
Special Opportunities in Art and Art History,Independent Study,"Students may pursue independent study coursework with individual faculty members. Such work may be undertaken only with the permission of the sponsoring faculty member. Students should consult individual faculty members prior to registration to secure permission. A proposal and a contract must be approved by the appropriate director of undergraduate studies (studio art or art history) before students may enroll. (See the the departmental majors Sakai site for instructions.) Since faculty members are limited to supervising only two independent study students each semester, students are strongly advised to contact the faculty member with whom they wish to work early in the registration period for the upcoming semester.Independent study work requires a minimum of three hours per week per credit hour. For example, a typical three-credit-hour class would require at least nine hours of work per week. Once the semester begins, students must meet with the faculty member initially to confirm goals, review expectations, and establish semester deadlines. Thereafter, students must meet regularly to review work in progress, with a suggested biweekly frequency. Total time spent in direct interaction with the faculty member for the semester must average 45 minutes per week. This may be in the form of face-to-face meetings, blog or e-mail exchanges, or group critiques with other independent study students and their advisors.","Art History Major, B.A.",Art and Art History
Special Opportunities in Art and Art History,Departmental Involvement,"Students have opportunities to see and interact with a variety of arts professionals through exhibitions in the Allcott Galleries, installations of sculptural works in the Alumni Sculpture Garden, an artist-in-residence program, the Visiting Arts Professionals Program, and the Hanes Visiting Artist Lecture Series.There are several undergraduate student organizations serving the visual arts at Carolina. The Undergraduate Art Association (UAA) is a campuswide social club that supports and develops undergraduate visual artists at Carolina  regardless of their enrollment in art classes  and strengthens the impact of visual art in the University community. The Studio Art Majors Association (SAMA) is aimed at developing community and professional opportunities that augment the experience for studio art majors and minors, especially through programming of the SAMple Gallery in the Hanes Art Center. ArtHeels is a service-based organization that is passionate about bringing arts (visual, performing, and literary) to the healthcare setting. The Art History Liaisons is the undergraduate art history group. Kappa Pi is the department majors' honors society which includes both studio and art history majors. These groups serve as an important link between the majors and the departments administration. The department utilizes these organizations to facilitate communication about matters of interest, including participation in departmental initiatives or other extracurricular opportunities.","Art History Major, B.A.",Art and Art History
Special Opportunities in Art and Art History,Internships,"Art and art history majors are encouraged to pursue internships at local, regional, or national arts institutions or businesses. Students have worked in many art career contexts including museums and galleries, arts programming, and local businesses specializing in art-related production (photo studios, printmaking studios, illustration, design firms,and publishing). The departmental majors' Sakai site has useful information about the requirements and how to set up the contracts for ARTH293 and ARTS493 as well as a partial listing of organizations that have worked with our students in the past. If you would like to discuss specific ideas about a possible internship, speak to any faculty member or the relevant director of undergraduate studies (art history or studio). All internships taken for UNC credit are subject to governmental guidelines, and students must have internships preapproved and under contract before enrolling for either ARTH293 or ARTS493.","Art History Major, B.A.",Art and Art History
Special Opportunities in Art and Art History,Study Abroad,"Students are encouraged to pursue study abroad opportunities. While there are many opportunities to study art abroad, the Department of Art and Art History maintains a special affiliation with the Studio Art Centers International (SACI) and the Lorenzo di Medici  both in Florence, Italy  and the Glasgow School of Art in Scotland. Students should discuss their study abroad plans with the undergraduate advisor in studio art to obtain prior approval for courses taken abroad. Basically, courses that have an equivalent in the UNCChapel Hill curriculum usually are approved. Courses that fall outside the UNCChapel Hill curriculum must be evaluated on a case-by-case basis. No guarantee exists that a course will transfer for credit unless preapproved. Contact the Study Abroad Office to discuss the procedures for approval.","Art History Major, B.A.",Art and Art History
Special Opportunities in Art and Art History,Undergraduate Awards,"The studio program awards more than $24,000 annually to students, with individual awards ranging from a minimum of $500 to $3,000. A portfolio review each year allows studio art majors to submit up to four works to be considered for the following scholarships:Every year, the Department of Art and Art History commissions student work for the Alumni Sculpture Garden. Commissions are a minimum of $5,000, and the department awards up to three commissions. The selection process occurs in three stages: identifying interested students, a design phase, and the production of the work. During the November Awards Competition, interested students compete for one of six $500 design honorariums that are to be used to develop proposals. Winners of this first phase are required attend a session early in the spring semester to learn about how to develop a proposal and the components that must be included. Proposals are reviewed in March to select winners.","Art History Major, B.A.",Art and Art History
Special Opportunities in Art and Art History,Undergraduate Research,"Opportunities for undergraduate research in the Department of Art and Art History exist in several forms. Detailed descriptions and application guidelines are available on the art majors Sakai site and from the department's student services manager.Allcott Travel Fellowships support two summer research projects in studio art and/or art history.The Beatrice Pearman Fund supports special projects in both art history and studio art. Competitions for art history research funds are held in the fall and the spring. Studio art students may request funds for special projects by submitting a proposal to the director of undergraduate studies in studio art. Awards are $500 or less.Summer Undergraduate Research Fellowships (SURF) are administered through the UNC OfficeforUndergraduate Research. These $3,000 awards support undergraduate research projects over the summer. UNC's broad definition of research includes creative practices, and the James Boyd Gadson SURFs are specifically designated for studio art. SURF applications from studio art majors are automatically considered for these Gadson Fellowships. This fund typically supports at least two awards. Application deadlines (usually in February) are set by the Office for Undergraduate Research. Students interested in pursuing summer research should contact possible faculty sponsors toward the end of the fall semester.The Jacquelyn Friedman and Marvin Saltzman Fund in Art provides supplemental monies for painting supplies for students who for economic reasons may be hindered from working to their full potential. Any undergraduate student with need, regardless of major, enrolled in a departmental studio art painting class during the fall and/or spring semesters is eligible. Students can contact their course instructor or the student services specialist for further information.","Art History Major, B.A.",Art and Art History
Honors in Studio Art,,"The Senior Honors Thesis Project is designed to provide senior studio art majors an opportunity to pursue serious and substantial work that may qualify them to graduate ""with honors"" or ""with highest honors."" Students selected for the program conduct original creative research spanning the two semesters of the senior year.To be eligible to apply for this opportunity, students must be rising senior studio art majors and meet the minimum GPA threshold of 3.3 established by the Honors Carolina office. The application consists of the following:A call for applicationsis announced via the department student listserv in March. Applications are due inearly to mid April and are reviewed by the studio faculty within two weeks of the application deadline. If accepted as a studio art honors candidate, students enroll in the honors courses through the student services manager.In addition to the scheduled coursework, studio honors students work with a thesis committee consisting of a thesis advisor  who must be a studio art faculty member  and two additional faculty members, typically the faculty teaching the ARTS499 and ARTS500 classes, but faculty from other disciplines may also serve on the honors thesis committee.In studio art, the thesis project consists of the creative work produced and accompanying written components. Work is reviewed at the end of the fall semester to determine progress toward completion. In the spring semester, the completed honors project work and written thesis are presented to the honors committee for an oral defense. On the basis of this defense and the work presented, the committee determines whether or not a student graduates with an honors designation (honors or highest honors). Honors students exhibit their work in a formal exhibition either as a solo show at the time of the thesis defense and/or as aparticipant in the Senior Exhibition required for all graduating studio art majors. Studio art honors studentsalso join their art history peers in a departmental honors symposium in April.Current deadlines, details of the application process, and requirements for the senior studio art honors project (research, work and written components) are available on the art and art history majors Sakai site or from the student services manager.","Studio Art Major, B.A.",Art and Art History
Special Opportunities in Art and Art History,Independent Study,"Students may pursue independent study coursework with individual faculty members. Such work may be undertaken only with the permission of the sponsoring faculty member. Students should consult individual faculty members prior to registration to secure permission. A proposal and a contract must be approved by the appropriate director of undergraduate studies (studio art or art history) before students may enroll. (See the the departmental majors Sakai site for instructions.) Since faculty members are limited to supervising only two independent study students each semester, students are strongly advised to contact the faculty member with whom they wish to work early in the registration period for the upcoming semester.Independent study work requires a minimum of three hours per week per credit hour. For example, a typical three-credit-hour class would require at least nine hours of work per week. Once the semester begins, students must meet with the faculty member initially to confirm goals, review expectations, and establish semester deadlines. Thereafter, students must meet regularly to review work in progress, with a suggested biweekly frequency. Total time spent in direct interaction with the faculty member for the semester must average 45 minutes per week. This may be in the form of face-to-face meetings, blog or e-mail exchanges, or group critiques with other independent study students and their advisors.","Studio Art Major, B.A.",Art and Art History
Special Opportunities in Art and Art History,Departmental Involvement,"Students have opportunities to see and interact with a variety of arts professionals through exhibitions in the Allcott Galleries, installations of sculptural works in the Alumni Sculpture Garden, an artist-in-residence program, the Visiting Arts Professionals Program, and the Hanes Visiting Artist Lecture Series.There are several undergraduate student organizations serving the visual arts at Carolina. The Undergraduate Art Association (UAA) is a campuswide social club that supports and develops undergraduate visual artists at Carolina  regardless of their enrollment in art classes  and strengthens the impact of visual art in the University community. The Studio Art Majors Association (SAMA) is aimed at developing community and professional opportunities that augment the experience for studio art majors and minors, especially through programming of the SAMple Gallery in the Hanes Art Center. ArtHeels is a service-based organization that is passionate about bringing arts (visual, performing, and literary) to the healthcare setting. The Art History Liaisons is the undergraduate art history group. Kappa Pi is the department majors' honors society which includes both studio and art history majors. These groups serve as an important link between the majors and the departments administration. The department utilizes these organizations to facilitate communication about matters of interest, including participation in departmental initiatives or other extracurricular opportunities.","Studio Art Major, B.A.",Art and Art History
