course_id,prereq_id
AERO301,AERO101
AERO301,AERO102
AERO301,AERO201
AERO301,AERO202
AERO302,AERO101
AERO302,AERO102
AERO302,AERO201
AERO302,AERO202
AERO401,AERO101
AERO401,AERO102
AERO401,AERO201
AERO401,AERO202
AERO402,AERO101
AERO402,AERO102
AERO402,AERO201
AERO402,AERO202
AERO402,AERO301
AERO402,AERO302
AAAD386,AAAD101
AAAD386,AAAD130
AAAD401,ECON101
AAAD405,AAAD101
AAAD405,ARTH152
AAAD405,ARTH155
AAAD487,AAAD101
AAAD487,AAAD130
AMST903,AMST700
AMST903,AMST701
AMST903,AMST901
ANTH93,ANTH92
ANTH425,ANTH410
ANTH425,ANTH411
ANTH425,ANTH420
ANTH425,ANTH451
ANTH425,CLAR411
ANTH523,LING520
ANTH523,SPHS530
ANTH523,SPHS540
ANTH541,LING101
ANTH542,LING101
ANTH702,ANTH701
ANTH704,ANTH703
ANTH717,ANTH334
ANTH752,ANTH470
ANTH818,ANTH817
APPL115,APPL114
APPL115,APPL112
APPL116,APPL112
APPL240,115
APPL240,119
APPL260,CHEM102
APPL260,PHYS118
APPL285,APPL110
APPL285,PHYS114
APPL285,PHYS118
APPL385,MATH233
APPL412,APPL110
APPL420,CHEM261
APPL420,261H
APPL421,CHEM251
APPL421,CHEM262
APPL421,262H
APPL422,CHEM420
APPL422,CHEM481
APPL423,CHEM422
APPL430,MATH383
APPL435,119
APPL462,CHEM102
APPL462,PHYS118
APPL463,BMME209
APPL463,APPL260
APPL463,CHEM102
APPL463,PHYS115
APPL463,PHYS119
APPL470,CHEM482
APPL470,PHYS128
APPL472,CHEM482
APPL472,CHEM119
APPL473,CHEM470
APPL491L,APPL470
APPL491L,PHYS351
APPL492L,APPL491L
APPL492L,PHYS491L
APPL573,PHYS421
ARAB102,ARAB101
ARAB203,ARAB102
ARAB204,ARAB203
ARAB300,ARAB204
ARAB305,ARAB204
ARAB306,ARAB305
ARAB308,ARAB204
ARAB407,ARAB306
ARAB408,ARAB306
ARMY301,ARMY101
ARMY301,ARMY102
ARMY301,ARMY201
ARMY301,ARMY202
ARMY302,ARMY101
ARMY302,ARMY102
ARMY302,ARMY201
ARMY302,ARMY202
ARMY401,ARMY301
ARMY401,ARMY302
ARMY402,ARMY301
ARMY402,ARMY302
ARMY402,ARMY401
ARTH455,ARTH151
ARTH464,CLAR244
ARTH465,CLAR247
ARTH474,CLAR247
ARTH476,CLAR247
ARTH488,AAAD101
ARTH488,ARTH152
ARTH488,ARTH155
ARTH755,ARTH551
ARTH755,ARTH592
ASIA469,ECON400
ASIA469,ECON310
ASIA469,ECON410
ASIA469,ECON400
ASIA469,ECON310
ASIA469,ECON410
ASTR102,ASTR101
ASTR110,ASTR100
ASTR110,ASTR101
ASTR110,ASTR102
ASTR110,ASTR103
ASTR110,ASTR111
ASTR501,ASTR202
ASTR501,ASTR301
ASTR501,MATH383
ASTR501,PHYS331
ASTR502,ASTR202
ASTR503,ASTR202
ASTR503,ASTR301
ASTR503,MATH383
ASTR503,PHYS331
ASTR504,ASTR202
ASTR504,ASTR301
ASTR504,PHYS401
ASTR505,ASTR202
ASTR505,ASTR301
ASTR505,PHYS331
ASTR511,ASTR202
ASTR512,ASTR202
ASTR512,PHYS201
ASTR512,PHYS401
ASTR519,ASTR102
ASTR519,ASTR202
ASTR702,PHYS711
ASTR702,PHYS721
ASTR705,PHYS711
ASTR705,PHYS721
ASTR712,PHYS701
BIOC442,CHEM430
BIOC601,CHEM430
BIOC650,CHEM430
BIOC651,CHEM430
BIOC652,CHEM430
BIOC655,CHEM430
BIOC660,BIOC650
BIOC660,BIOC651
BIOC660,BIOC652
BIOC662,BIOC650
BIOC662,BIOC651
BIOC662,BIOC652
BIOC663A,BIOC650
BIOC663A,BIOC651
BIOC663A,BIOC652
BIOC663B,BIOC664
BIOC664,CHEM430
BIOC666,BIOC650
BIOC666,BIOC651
BIOC666,BIOC652
BIOC667,BIOC666
BIOC668,BIOC650
BIOC668,BIOC651
BIOC668,BIOC652
BIOC670,BIOC650
BIOC670,BIOC651
BIOC670,BIOC652
BIOC673,BIOC650
BIOC673,BIOC651
BIOC673,BIOC652
BIOC678,BIOC650
BIOC678,BIOC651
BIOC678,BIOC652
BIOC805,MATH231
BIOC805,MATH232
BIOC805,CHEM481
BIOC806,MATH231
BIOC806,MATH232
BIOC806,CHEM430
BCB555,COMP210
BCB555,COMP211
BCB555,COMP401
BCB555,COMP410
BCB555,MATH231
BCB555,BIOL452
BCB555,MATH553
BCB555,BIOL525
BCB731,BCB720
BCB731,BIOS661
BCB731,COMP755
BCB731,STOR665
BCB784,BIOS661
BCB784,BIOS663
BCB785,BIOS661
BCB785,BIOS673
BCB785,BIOS663
BIOL103,BIOL101
BIOL104,BIOL101
BIOL104,BIOL101L
BIOL104,BIOL102L
BIOL105L,BIOL101
BIOL105L,BIOL101L
BIOL105L,BIOL102L
BIOL201,BIOL101
BIOL201,CHEM101
BIOL201,CHEM102
BIOL201,BIOL101
BIOL201,CHEM101
BIOL201,CHEM102
BIOL202,BIOL101
BIOL202,CHEM101
BIOL202,CHEM102
BIOL202,BIOL101
BIOL202,CHEM101
BIOL202,CHEM102
BIOL204,BIOL103
BIOL205,BIOL202
BIOL205,BIOL202
BIOL211,BIOL201
BIOL211,BIOL202
BIOL213,BIOL101
BIOL214H,BIOL101
BIOL214H,MATH231
BIOL217,BIOL101
BIOL220,BIOL101
BIOL220,BIOL103
BIOL221,BIOL101
BIOL221L,BIOL101
BIOL222,BIOL101
BIOL224H,MATH231
BIOL224H,BIOL224L
BIOL224L,MATH231
BIOL224L,BIOL224H
BIOL226,MATH210
BIOL226,MATH232
BIOL226,BIOL226L
BIOL226L,MATH210
BIOL226L,MATH232
BIOL226L,BIOL226
BIOL240,BIOL103
BIOL250,BIOL104
BIOL252,BIOL101
BIOL252L,BIOL101
BIOL252L,BIOL101L
BIOL252L,BIOL102L
BIOL253L,BIOL252
BIOL253L,252L
BIOL253,BIOL252
BIOL253,252L
BIOL255,BIOL101
BIOL255L,BIOL101
BIOL255L,BIOL101L
BIOL255L,BIOL102L
BIOL260,BIOL104
BIOL271,BIOL101
BIOL271,BIOL101L
BIOL271,BIOL102L
BIOL271L,BIOL101
BIOL271L,BIOL101L
BIOL271L,BIOL102L
BIOL272,BIOL101
BIOL272,101L
BIOL272,102L
BIOL273,BIOL101
BIOL274,BIOL101
BIOL274,BIOL101L
BIOL274,BIOL102L
BIOL274L,BIOL101
BIOL274L,BIOL101L
BIOL274L,BIOL102L
BIOL277,BIOL101
BIOL277,BIOL101L
BIOL277,BIOL102L
BIOL278,BIOL101
BIOL278,BIOL101L
BIOL278,BIOL102L
BIOL293,BIOL201
BIOL293,BIOL202
BIOL293,BIOL103
BIOL293,BIOL104
BIOL295,BIOL101
BIOL395,BIOL201
BIOL395,BIOL202
BIOL395,BIOL220
BIOL395,BIOL240
BIOL395,BIOL250
BIOL395,BIOL260
BIOL402,BIOL205
BIOL402,BIOL103
BIOL402,BIOL104
BIOL402,BIOL220
BIOL402,BIOL240
BIOL405,BIOL103
BIOL405,BIOL104
BIOL409L,ARTS409
BIOL422,BIOL202
BIOL422,BIOL103
BIOL422,BIOL104
BIOL422,BIOL220
BIOL423,BIOL103
BIOL423,BIOL104
BIOL423,BIOL220
BIOL423L,BIOL103
BIOL423L,BIOL104
BIOL423L,BIOL220
BIOL424,BIOL201
BIOL424,BIOL202
BIOL425,BIOL202
BIOL425,BIOL103
BIOL425,BIOL104
BIOL425,BIOL220
BIOL426,BIOL205
BIOL426,BIOL103
BIOL426,BIOL104
BIOL426,BIOL240
BIOL427,BIOL201
BIOL427,BIOL202
BIOL427,BIOL103
BIOL427,BIOL104
BIOL428,BIOL103
BIOL428,BIOL104
BIOL428,BIOL220
BIOL428,BIOL240
BIOL430,BIOL101
BIOL430,CHEM262
BIOL430,262H
BIOL431,PHYS118
BIOL431,PHYS119
BIOL434,BIOL202
BIOL434,CHEM261
BIOL434,BIOL103
BIOL434,BIOL104
BIOL434,BIOL220
BIOL434,CHEM261
BIOL436,BIOL202
BIOL436,BIOL271
BIOL436,BIOL103
BIOL436,BIOL104
BIOL436,BIOL220
BIOL439,BIOL205
BIOL439,BIOL103
BIOL439,BIOL104
BIOL439,BIOL240
BIOL440,BIOL202
BIOL440,BIOL103
BIOL440,BIOL104
BIOL440,BIOL220
BIOL440,BIOL240
BIOL441,BIOL103
BIOL441,BIOL104
BIOL441,BIOL240
BIOL441,BIOL252
BIOL442,BIOL205
BIOL442,BIOL103
BIOL442,BIOL104
BIOL442,BIOL220
BIOL442,BIOL240
BIOL443,BIOL205
BIOL443,BIOL103
BIOL443,BIOL104
BIOL443,BIOL220
BIOL443,BIOL240
BIOL444,BIOL103
BIOL444,BIOL104
BIOL444,BIOL240
BIOL445,BIOL205
BIOL445,BIOL103
BIOL445,BIOL104
BIOL445,BIOL220
BIOL445,BIOL240
BIOL446,BIOL103
